,Country,global_population,Available_quantity_per_capita ,Domestic_availability,propensity_to_import,Avg duties,GDP_per_capita,currency volatility,poultry_share_in_meat_consumption,share_of_urban_pop,logistic score,nb days to start a business,food_price_volatility,Influenza
149,Ukraine,44246.155999999995,22.62,1009.0,0.1199207135777998,10.0,12377.0,1.98,0.3860727086533538,69.473,2.83,6.5,2.4339511584867783,0
150,Uruguay,3449.285,9.12,33.0,0.09090909090909091,10.0,21608.4,5.44,0.13628212791392708,95.426,2.69,6.5,4.782540637442168,0
151,Vanuatu,292.68,11.66,3.0,1.3333333333333333,25.0,2762.8,3.19,0.18099968953741077,25.394000000000002,2.46,18.0,6.188360447682664,0
152,"Venezuela, Bolivarian Republic of",28887.118,20.28,626.0,0.039936102236421724,10.0,17528.0,34110571.72,0.3973354231974922,88.208,2.23,230.0,19284946117.028275,0
153,Viet Nam,95545.962,12.33,1206.0,0.24129353233830847,20.0,8200.3,598.64,0.12209129616793742,36.628,3.27,16.0,0.5489155972496816,0
154,Yemen,28498.682999999997,8.53,246.0,0.3170731707317073,10.0,3688.0,14.17,0.4258612081877184,36.641999999999996,2.27,40.5,2.369008637173486,0
155,Zambia,17351.708,3.42,60.0,0.2,25.0,3270.0,3.55,0.1359300476947536,44.071999999999996,2.53,8.5,8.43024866241491,0
156,Zimbabwe,14438.802,4.68,76.0,0.07894736842105263,40.0,2744.7,0.0,0.2187938288920056,32.21,2.12,27.0,1740.054477336192,0
157,Egypt,98423.59800000001,12.96,1250.0,0.088,30.0,11951.4,4.34,0.25930372148859543,42.70399999999999,2.82,12.5,3.1794321273994632,0
158,United Arab Emirates,9630.959,43.47,412.0,1.0509708737864079,5.0,69957.0,0.0,0.5012106537530266,86.789,3.96,3.8,1.499087065649102,1
159,Ecuador,17084.358,19.31,341.0,0.0,85.5,10329.2,0.0,0.3644083789394225,63.986000000000004,2.88,48.5,1.9401176668938855,0
160,United States of America,327096.265,55.68,18266.0,0.006733822402277456,10.0,60235.7,0.0,0.38017206063088904,82.459,3.89,4.2,1.6151696794248347,0
161,Ethiopia,109224.414,0.13,14.0,0.07142857142857142,35.0,2296.8,5.35,0.022260273972602742,21.225,2.377,32.0,13.621290747659208,0
